customer_id,age,gender,city_type,employment_type,employment_years,business_vintage_years,education_level,annual_income,monthly_income,dependents,credit_score,cibil_score,loan_type,requested_loan_amount,loan_tenure_months,property_value,property_location,down_payment,property_type,gold_weight,gold_purity,gold_market_value,course_fee,college,course_duration,coapplicant_income,business_turnover,years_in_business,business_type,gst_number,interest_rate,emi_amount,emi_income_ratio,probability_of_default,loan_approval_status,safe_loan_amount
11,45,Male,Semi-Urban,Salaried,4,13,Postgraduate,336948,28079,1,687,692,gold,608468,120,,,,,137.0,24.0,822000.0,,,,,,,,,11.0,8381.647387077299,0.2985023464894512,0.006950639337069831,Approved,0
12,27,Female,Urban,Salaried,14,14,Postgraduate,330504,27542,3,622,602,gold,780183,180,,,,,185.0,22.0,1110000.0,,,,,,,,,11.0,8867.53606192769,0.32196412976282374,0.09273796490494926,Approved,0
13,42,Male,Urban,Salaried,6,4,Graduate,455628,37969,3,703,704,home,1822512,36,2986247.889296079,Town,844295.991635534,Independent House,,,,,,,,,,,,8.5,57532.215764882465,1.5152417963307558,0.5498066129124372,Rejected,601393
14,34,Male,Semi-Urban,Salaried,10,14,Graduate,1060152,88346,3,695,658,home,1855266,240,3284503.237155378,City Center,540039.9323972829,Land,,,,,,,,,,,,8.5,16100.429388731407,0.18224287900676212,0.005935084765799514,Approved,0
15,50,Female,Semi-Urban,Student,0,10,School,0,0,1,826,838,education,935498,240,,,,,,,,948198.0,ABC University,44.0,39408.0,,,,,10.0,9027.758189234451,0.2290844039087102,0.06518805902405632,Rejected,679332
16,46,Male,Rural,Salaried,20,2,School,1223268,101939,0,796,756,home,4179499,12,5715762.3602021765,Town,1085402.972476188,Independent House,,,,,,,,,,,,8.5,364534.99357217527,3.5760110808638035,0.4167438663180255,Rejected,701256
17,54,Female,Rural,Student,0,15,School,0,0,0,444,451,education,966376,36,,,,,,,,988616.0,XYZ College,29.0,106429.0,,,,,10.0,31182.235291631983,0.29298626588271975,0.49025159887724334,Rejected,668987
18,39,Female,Semi-Urban,Student,0,13,Graduate,0,0,4,671,637,education,1066415,36,,,,,,,,1471981.0,XYZ College,43.0,75241.0,,,,,10.0,34410.21243131629,0.4573332681824576,0.09863253437396194,Approved,0
19,45,Female,Urban,Salaried,19,6,Graduate,1576704,131392,0,720,672,home,6438208,180,10246854.490117392,City Center,2994628.412988871,Independent House,,,,,,,,,,,,8.5,63399.58099753018,0.4825223833835407,0.03590488955598834,Approved,0
20,51,Male,Rural,Student,0,14,Graduate,0,0,4,428,456,education,1102327,180,,,,,,,,1104764.0,ABC University,42.0,58909.0,,,,,10.0,11845.662355878363,0.20108408487460935,0.4864721989052639,Rejected,796889
21,54,Female,Semi-Urban,Student,0,8,Postgraduate,0,0,2,425,406,education,240229,180,,,,,,,,260458.0,National Institute,32.0,81136.0,,,,,10.0,2581.5131282190346,0.03181711112476625,0.5848574059951541,Rejected,144685
22,41,Male,Semi-Urban,Self-employed,9,4,Graduate,2346420,195535,4,604,634,home,10363355,36,16592985.358593749,Town,2585295.9540400454,Apartment,,,,,,,,,,,,8.5,327145.5967961108,1.6730794834485427,0.799755093312935,Rejected,3716508
23,45,Male,Semi-Urban,Salaried,14,9,Postgraduate,0,0,0,684,691,business,4607121,36,,,,,,,,,,,,4252727.0,8.0,Manufacturing,TXMV5SC2TYKY4KL,13.0,155232.11384735856,0.43802138396570073,0.09892022899824071,Approved,0
24,50,Female,Semi-Urban,Student,0,13,Postgraduate,0,0,1,773,796,education,394838,24,,,,,,,,563778.0,XYZ College,40.0,110578.0,,,,,10.0,18219.7704252524,0.1647684930569589,0.19782224602803952,Approved,0
25,43,Female,Semi-Urban,Self-employed,7,2,Postgraduate,670272,55856,4,778,795,home,1284688,12,2200957.215414638,Town,324257.71239834075,Land,,,,,,,,,,,,8.5,112050.20788909166,2.0060549965821335,0.6148505970402794,Rejected,320203
26,48,Male,Urban,Self-employed,1,6,Postgraduate,1593528,132794,3,816,812,home,5577348,240,7920802.853547369,Town,1760344.7868781777,Land,,,,,,,,,,,,8.5,48401.52174964794,0.36448575801352423,0.2634268262294808,Rejected,4047780
27,45,Female,Semi-Urban,Self-employed,11,2,Postgraduate,2179104,181592,4,627,671,home,3995024,180,5207195.043885654,City Center,766855.8758653244,Land,,,,,,,,,,,,8.5,39340.58167662136,0.21664270274363057,0.22148569570893462,Approved,0
28,26,Female,Semi-Urban,Self-employed,11,1,School,0,0,4,696,727,business,4276664,24,,,,,,,,,,,,1769654.0,2.0,Manufacturing,0JFF4UOWFMSGLUJ,13.0,203320.4011584166,1.378712908795165,0.7831616315094221,Rejected,1861155
29,33,Female,Semi-Urban,Self-employed,9,1,Postgraduate,661872,55156,3,593,565,gold,298471,120,,,,,65.0,24.0,390000.0,,,,,,,,,11.0,4111.438362031115,0.0745419965557893,0.603686771337946,Rejected,232898
30,35,Male,Urban,Salaried,9,11,Postgraduate,1825584,152132,4,578,614,home,7454468,12,13364695.80370475,City Center,2560013.127305137,Apartment,,,,,,,,,,,,8.5,650177.0773157228,4.273769340544546,0.9270719818238558,Rejected,1046542
31,30,Female,Urban,Self-employed,17,15,School,989880,82490,3,791,745,gold,637606,12,,,,,169.0,22.0,1014000.0,,,,,,,,,11.0,56352.675763325264,0.6831455420454027,0.7181378275265915,Rejected,560003
32,27,Female,Rural,Salaried,17,3,School,0,0,2,707,695,business,5738260,24,,,,,,,,,,,,2295304.0,6.0,Services,50DZFFHS9VSGPNJ,13.0,272807.33888640674,1.4262546776535399,0.5669338519454282,Rejected,2413984
33,23,Male,Urban,Self-employed,10,3,Postgraduate,1411524,117627,0,444,446,gold,485365,12,,,,,128.0,24.0,768000.0,,,,,,,,,11.0,42897.36368833789,0.3646897709568202,0.779342566289953,Rejected,373040
34,30,Female,Urban,Self-employed,15,14,Graduate,1818960,151580,3,813,769,home,3183180,60,4783238.069584546,Town,621243.318224276,Land,,,,,,,,,,,,8.5,65307.81218964302,0.43084715786807637,0.2711963807600661,Approved,0
35,47,Male,Semi-Urban,Salaried,15,6,School,0,0,3,692,681,business,5524950,180,,,,,,,,,,,,2286186.0,11.0,Retail,4G2QQZUAF9M0N2R,13.0,69903.99712107913,0.36692026171665365,0.09770621289398636,Rejected,3544330
36,29,Female,Semi-Urban,Self-employed,16,4,Postgraduate,1587192,132266,2,718,729,home,3571182,36,6086893.87788502,City Center,1334224.7946151942,Apartment,,,,,,,,,,,,8.5,112733.42143133459,0.85232351043605,0.6447549618379714,Rejected,2513962
37,43,Male,Rural,Student,0,3,School,0,0,1,688,650,education,254581,240,,,,,,,,289250.0,National Institute,43.0,54299.0,,,,,10.0,2456.7617542458624,0.04524506444402038,0.16027579105831974,Rejected,173132
38,55,Male,Rural,Salaried,16,5,Graduate,1068804,89067,1,710,732,gold,571231,36,,,,,120.0,22.0,720000.0,,,,,,,,,11.0,18701.370117462015,0.2099696870609992,0.09847433699721041,Approved,0
39,32,Female,Urban,Salaried,12,14,Graduate,1017060,84755,2,581,534,home,4492015,180,7167890.436824691,City Center,1855446.354532958,Apartment,,,,,,,,,,,,8.5,44234.64865295134,0.5219119657005645,0.8973782352302069,Rejected,3080169
40,22,Female,Semi-Urban,Salaried,7,8,School,0,0,3,721,720,business,4241000,240,,,,,,,,,,,,2313273.0,3.0,Retail,9OHUGGI009RT0DU,13.0,49686.52591531293,0.2577466260937447,0.07240015700696419,Approved,0
41,25,Female,Rural,Student,0,2,School,0,0,4,574,621,education,408971,60,,,,,,,,443346.0,XYZ College,43.0,97837.0,,,,,10.0,8689.425122612121,0.08881532674358496,0.5167282241540547,Approved,0
42,55,Male,Urban,Student,0,13,Graduate,0,0,1,583,572,education,626809,36,,,,,,,,721523.0,National Institute,45.0,118823.0,,,,,10.0,20225.363337782135,0.17021421221297336,0.5778229679748816,Rejected,443661
43,25,Female,Semi-Urban,Student,0,13,Graduate,0,0,0,689,652,education,670506,180,,,,,,,,769771.0,ABC University,39.0,76756.0,,,,,10.0,7205.291790539993,0.0938726847482932,0.0836555752782682,Approved,0
44,24,Male,Urban,Salaried,8,15,Graduate,401280,33440,3,827,842,home,1705440,180,2426135.4194788733,City Center,614499.8877443164,Apartment,,,,,,,,,,,,8.5,16794.142316686237,0.5022171745420525,0.5802200802461241,Rejected,1697911
45,37,Female,Urban,Self-employed,8,12,School,1502880,125240,1,477,450,home,3005760,120,5169205.097769975,Suburban,578362.9286285865,Land,,,,,,,,,,,,8.5,37267.12241914506,0.2975656532988267,0.7810594274486103,Rejected,1930151
46,48,Male,Urban,Salaried,14,4,School,0,0,0,716,749,business,7985500,60,,,,,,,,,,,,3992750.0,3.0,Manufacturing,6GBW5WCUGQYRFU6,13.0,181694.6647946519,0.5460737530613794,0.4451084218024631,Rejected,6179826
47,25,Male,Urban,Salaried,11,7,Graduate,1729356,144113,3,826,802,home,5332181,60,9091368.124242092,City Center,1506297.4440431292,Independent House,,,,,,,,,,,,8.5,109397.85852800749,0.7591116591008965,0.5866776993977032,Rejected,4214543
48,25,Male,Rural,Salaried,5,2,Postgraduate,0,0,0,601,628,business,4637142,36,,,,,,,,,,,,3974693.0,4.0,Retail,S9755CCNPNG8L7H,13.0,156243.63998044937,0.4717153450003289,0.15630977490930367,Approved,0
49,45,Male,Semi-Urban,Self-employed,16,15,School,421680,35140,2,444,437,home,2108400,120,3205494.468963318,Town,622343.3621444338,Apartment,,,,,,,,,,,,8.5,26141.14264230193,0.7439141332470669,1.0,Rejected,1417099
50,24,Female,Rural,Self-employed,9,10,Graduate,1767528,147294,0,806,847,home,7806582,60,10348823.513572916,City Center,1710804.736199024,Apartment,,,,,,,,,,,,8.5,160163.98416019446,1.0873761603337166,0.6521813107729943,Rejected,4307570
51,54,Male,Rural,Salaried,14,10,School,1023816,85318,2,730,741,home,3668674,12,6453767.495775286,Town,1809621.3486481495,Apartment,,,,,,,,,,,,8.5,319980.94819699833,3.7504506457839883,0.5251880056600703,Rejected,586917
52,33,Male,Urban,Salaried,1,13,Postgraduate,0,0,3,809,803,business,1032672,120,,,,,,,,,,,,619603.0,3.0,Retail,8DOAYV1J5T8N2Z2,13.0,15418.902047376132,0.2986215763456819,0.15829893264833148,Approved,0
53,55,Female,Urban,Self-employed,5,3,Postgraduate,0,0,2,695,692,business,654434,120,,,,,,,,,,,,604093.0,9.0,Retail,9TCLHPNHH7DE7WV,13.0,9771.402480625553,0.1941039372538775,0.304264979446284,Rejected,422530
54,46,Female,Rural,Salaried,5,14,Postgraduate,1649088,137424,4,619,657,gold,422063,12,,,,,97.0,24.0,582000.0,,,,,,,,,11.0,37302.627940603365,0.27144187289413324,0.19663342449249258,Approved,0
55,22,Female,Urban,Salaried,17,8,Postgraduate,367968,30664,0,680,636,home,1594528,180,2096700.1369278242,Suburban,335030.2805742325,Apartment,,,,,,,,,,,,8.5,15701.947978199803,0.5120645701213085,0.5749541635770178,Rejected,1556960
56,24,Female,Rural,Student,0,3,Postgraduate,0,0,2,630,596,education,439722,36,,,,,,,,446389.0,National Institute,42.0,54801.0,,,,,10.0,14188.592087248648,0.25891118934414786,0.08095207273296899,Rejected,319348
57,52,Female,Urban,Self-employed,9,13,Graduate,1664856,138738,3,614,577,home,4717092,120,7046015.890382274,City Center,1768274.0284726443,Land,,,,,,,,,,,,8.5,58485.19011044456,0.42155134217333795,0.31072343696663024,Rejected,3076780
58,43,Male,Urban,Student,0,14,Graduate,0,0,3,605,612,education,255870,24,,,,,,,,344767.0,XYZ College,24.0,119871.0,,,,,10.0,11807.102301980387,0.09849840496851105,0.07905912079181468,Approved,0
59,32,Female,Urban,Student,0,12,School,0,0,4,719,671,education,1191185,60,,,,,,,,1234257.0,National Institute,34.0,40292.0,,,,,10.0,25309.160954392166,0.6281435757567797,0.4516749523942903,Rejected,948179
60,37,Female,Urban,Student,0,14,Postgraduate,0,0,4,583,596,education,1142104,24,,,,,,,,1183657.0,XYZ College,28.0,47138.0,,,,,10.0,52702.30494978312,1.1180428730489864,0.9620804592704415,Rejected,510760
61,40,Female,Rural,Self-employed,5,12,Graduate,0,0,1,820,778,business,9272467,12,,,,,,,,,,,,3589342.0,8.0,Retail,B54530UCH2GFI8P,13.0,828191.4915670994,2.7688355968322864,0.687791878484048,Rejected,2009321
62,46,Female,Rural,Student,0,2,School,0,0,3,466,416,education,1218007,180,,,,,,,,1304078.0,ABC University,41.0,90008.0,,,,,10.0,13088.765556043114,0.14541780237360138,0.4107920240337889,Rejected,735061
63,55,Female,Rural,Student,0,11,School,0,0,4,600,620,education,180100,240,,,,,,,,248592.0,National Institute,43.0,46352.0,,,,,10.0,1738.00398277829,0.03749577111620405,0.1595541037606727,Rejected,141100
64,27,Female,Urban,Self-employed,15,15,School,1043004,86917,3,696,673,gold,812680,240,,,,,196.0,22.0,1176000.0,,,,,,,,,11.0,8388.388627161714,0.09651033315878038,0.2596622814587315,Approved,0
65,29,Female,Rural,Self-employed,10,15,School,716304,59692,2,626,581,gold,180055,120,,,,,45.0,24.0,270000.0,,,,,,,,,11.0,2480.2578283166954,0.041550925221414854,0.23375504120508686,Rejected,142680
66,39,Female,Urban,Salaried,3,9,Graduate,551328,45944,4,590,625,home,2343144,240,2882096.6709864656,Suburban,555323.1879443856,Land,,,,,,,,,,,,8.5,20334.348023210507,0.4425898490164223,0.4467203629717595,Approved,0
67,46,Male,Urban,Salaried,16,5,Graduate,0,0,1,772,752,business,2726508,120,,,,,,,,,,,,1422526.0,12.0,Retail,TYR5D72ZWNPMCID,13.0,40709.69270338249,0.3434146809552795,0.12300733030832903,Approved,0
68,51,Female,Semi-Urban,Self-employed,18,13,School,0,0,1,716,672,business,4762847,180,,,,,,,,,,,,1544707.0,5.0,Services,X9NB00Z3Q8PKGDJ,13.0,60261.54860698112,0.4681396428473319,0.24428238503199926,Rejected,3056210
69,49,Male,Rural,Salaried,12,5,Graduate,1405104,117092,2,679,723,home,3629852,12,5518673.938712959,Suburban,1454231.1792604795,Apartment,,,,,,,,,,,,8.5,316594.90180233266,2.703813256262876,0.4919148407985347,Rejected,805496
70,38,Female,Semi-Urban,Salaried,7,12,Graduate,0,0,2,460,506,business,1103390,180,,,,,,,,,,,,696878.0,6.0,Services,YFJUR96AXPLYFG1,13.0,13960.555549539362,0.24039597547127667,0.4806739038789547,Rejected,843640
71,31,Male,Urban,Salaried,5,14,Postgraduate,1513284,126107,3,577,536,gold,163310,12,,,,,35.0,24.0,210000.0,,,,,,,,,11.0,14433.608653163003,0.11445525350030532,0.5486638186450763,Rejected,105653
72,28,Male,Rural,Student,0,2,School,0,0,3,607,564,education,1048223,180,,,,,,,,1170073.0,XYZ College,37.0,83846.0,,,,,10.0,11264.258002993562,0.13434460800746084,0.05153924707019744,Rejected,836206
73,55,Male,Semi-Urban,Self-employed,19,8,Postgraduate,792348,66029,0,794,770,gold,736571,240,,,,,195.0,22.0,1170000.0,,,,,,,,,11.0,7602.800363608221,0.11514335161229491,0.34000714528478093,Rejected,472574
74,37,Female,Rural,Student,0,14,School,0,0,2,455,477,education,645473,24,,,,,,,,899083.0,XYZ College,44.0,73248.0,,,,,10.0,29785.30403785589,0.40663641379772675,0.5966788184942826,Rejected,462885
75,33,Female,Rural,Salaried,2,4,School,1050972,87581,3,716,666,gold,723434,36,,,,,152.0,22.0,912000.0,,,,,,,,,11.0,23684.30107882103,0.2704273881186676,0.008270307478437001,Approved,0
76,52,Female,Rural,Salaried,2,5,Postgraduate,1409496,117458,3,714,692,gold,641260,24,,,,,173.0,24.0,1038000.0,,,,,,,,,11.0,29887.742321903366,0.2544547184687579,0.078062778430395,Approved,0
77,21,Male,Semi-Urban,Self-employed,19,9,School,0,0,1,628,609,business,2567655,12,,,,,,,,,,,,1027062.0,9.0,Services,AJ52GBJGHGLU1HV,13.0,229335.94956765237,2.6795182713524874,0.7147657571890959,Rejected,574951
78,22,Male,Urban,Self-employed,19,12,School,0,0,1,696,661,business,3445978,120,,,,,,,,,,,,1253083.0,15.0,Retail,0O2LHFH1MAASCB4,13.0,51452.152512523935,0.4927254061784313,0.3189938230371683,Approved,0
79,23,Female,Urban,Salaried,16,7,School,409332,34111,4,782,767,home,1876105,36,2946968.903330889,Suburban,651981.2858922881,Apartment,,,,,,,,,,,,8.5,59224.01479802316,1.7362145582956572,0.5518010378707162,Rejected,540286
80,26,Female,Urban,Salaried,8,12,School,0,0,3,807,808,business,6730772,24,,,,,,,,,,,,4251014.0,6.0,Services,G3ZVT69FDTFESNP,13.0,319993.16830731573,0.9032946068132894,0.5226365475593994,Rejected,4470815
81,38,Male,Rural,Salaried,1,12,School,344604,28717,3,611,576,gold,413525,24,,,,,96.0,22.0,576000.0,,,,,,,,,11.0,19273.50629021784,0.6711531946309796,0.5617284645979221,Rejected,246456
82,28,Male,Semi-Urban,Salaried,7,11,School,401520,33460,4,578,528,gold,345386,120,,,,,87.0,24.0,522000.0,,,,,,,,,11.0,4757.692540007165,0.14219045248078796,0.5591158290353154,Rejected,241180
83,22,Male,Semi-Urban,Student,0,8,Graduate,0,0,2,671,676,education,920880,12,,,,,,,,1048783.0,XYZ College,25.0,81855.0,,,,,10.0,80959.98223237152,0.9890658143347568,0.4669761959300546,Rejected,558636
84,55,Female,Semi-Urban,Self-employed,6,7,School,0,0,3,702,707,business,3096160,36,,,,,,,,,,,,1238464.0,4.0,Manufacturing,8QNDQ8Q657QRNMC,13.0,104321.8664345125,1.0108185600987594,0.7923242917999717,Rejected,1837814
85,44,Male,Rural,Salaried,20,11,Graduate,1104192,92016,0,431,409,home,2392416,180,3674344.2706500962,Town,378446.71443108347,Apartment,,,,,,,,,,,,8.5,23559.066742141164,0.2560322850606543,0.5628546061919614,Rejected,1862919
86,23,Male,Rural,Salaried,3,9,School,501636,41803,4,620,642,home,1630317,12,2878460.0627719983,City Center,830453.8738388953,Land,,,,,,,,,,,,8.5,142195.89408099104,3.4015715159436173,0.47972303710332415,Rejected,239642
87,38,Female,Rural,Student,0,13,Postgraduate,0,0,2,618,656,education,979449,120,,,,,,,,1330502.0,ABC University,48.0,82855.0,,,,,10.0,12943.490708810485,0.15621858317313964,0.09019192726350736,Approved,0
88,29,Male,Semi-Urban,Self-employed,14,14,Graduate,0,0,2,714,684,business,1957871,60,,,,,,,,,,,,1236550.0,10.0,Manufacturing,K9UAKIB4IHQO20U,13.0,44547.58187416817,0.43230842464115327,0.3802398482727937,Approved,0
89,39,Female,Semi-Urban,Salaried,7,12,School,1697796,141483,1,423,417,gold,661288,36,,,,,148.0,22.0,888000.0,,,,,,,,,11.0,21649.720764867838,0.15301994419730877,0.4710308683429294,Rejected,434213
90,44,Female,Semi-Urban,Self-employed,6,5,Graduate,0,0,0,812,834,business,7435327,240,,,,,,,,,,,,2287793.0,5.0,Retail,2YWOL3DR6HMTBFN,13.0,87110.48518611789,0.4569145120355796,0.36961083088622976,Rejected,5112581
91,23,Female,Rural,Student,0,12,School,0,0,3,605,611,education,1211920,12,,,,,,,,1426741.0,XYZ College,41.0,67799.0,,,,,10.0,106547.02205179361,1.571513179424381,0.4723207010698264,Rejected,385590
92,45,Male,Rural,Self-employed,4,14,Postgraduate,0,0,1,718,734,business,14839770,60,,,,,,,,,,,,4451931.0,5.0,Services,Q8840QQEAJU0TZP,13.0,337650.3707694861,0.9101229217689657,0.7798478936337032,Rejected,9783142
93,43,Male,Semi-Urban,Self-employed,19,13,Graduate,987060,82255,4,691,717,gold,730148,36,,,,,175.0,24.0,1050000.0,,,,,,,,,11.0,23904.108825544583,0.2906097966755162,0.20206593966502165,Approved,0
94,34,Male,Semi-Urban,Self-employed,3,5,Postgraduate,372120,31010,4,596,577,gold,764156,12,,,,,197.0,24.0,1182000.0,,,,,,,,,11.0,67537.37464923415,2.177922433061404,1.0,Rejected,175432
95,47,Female,Rural,Student,0,8,Postgraduate,0,0,1,691,655,education,652458,180,,,,,,,,836251.0,ABC University,44.0,88993.0,,,,,10.0,7011.347058896031,0.07878537703972258,0.01440302300388976,Rejected,520303
96,52,Female,Semi-Urban,Student,0,5,School,0,0,2,595,588,education,210332,120,,,,,,,,262893.0,XYZ College,24.0,72944.0,,,,,10.0,2779.5528789814753,0.03810529829707002,0.5197376288455208,Rejected,165005
97,34,Female,Rural,Self-employed,14,5,Graduate,0,0,0,730,753,business,10680878,120,,,,,,,,,,,,3286424.0,3.0,Manufacturing,JWLWXQT8DXXT4YX,13.0,159476.97977864672,0.582311885911179,0.7049094962505514,Rejected,7670274
98,27,Male,Urban,Self-employed,10,1,Postgraduate,0,0,3,694,699,business,4011921,60,,,,,,,,,,,,2533845.0,13.0,Manufacturing,LLSU5391C4NSH0Z,13.0,91283.53156065677,0.4323083609012711,0.27844376188029635,Approved,0
99,40,Male,Urban,Student,0,14,School,0,0,2,701,688,education,350084,180,,,,,,,,470848.0,ABC University,25.0,32307.0,,,,,10.0,3762.0205802772875,0.11644598942264177,0.10486671125619747,Approved,0
100,33,Female,Urban,Self-employed,9,15,School,695004,57917,4,608,618,gold,808426,240,,,,,195.0,22.0,1170000.0,,,,,,,,,11.0,8344.479332950035,0.14407651178324216,0.2974924144526184,Approved,0
101,47,Male,Rural,Student,0,3,Graduate,0,0,1,691,732,education,828615,24,,,,,,,,833338.0,ABC University,40.0,101141.0,,,,,10.0,38236.37813716136,0.3780502282670861,0.09130248430188784,Approved,0
102,44,Male,Semi-Urban,Self-employed,11,6,Graduate,1089132,90761,0,817,795,gold,447355,24,,,,,122.0,22.0,732000.0,,,,,,,,,11.0,20850.249456406265,0.22972696925338268,0.33529649218957125,Approved,0
103,31,Male,Rural,Self-employed,10,12,Postgraduate,1275120,106260,4,794,802,gold,744912,12,,,,,179.0,22.0,1074000.0,,,,,,,,,11.0,65836.55801264441,0.6195798796597441,0.6627811593627846,Rejected,721371
104,24,Female,Urban,Salaried,8,11,School,915804,76317,3,786,817,gold,371585,60,,,,,81.0,22.0,486000.0,,,,,,,,,11.0,8079.158277448097,0.10586315339240401,0.04012566080511737,Approved,0
105,43,Female,Semi-Urban,Salaried,7,3,Graduate,0,0,2,728,741,business,4934579,36,,,,,,,,,,,,1600404.0,10.0,Manufacturing,SJRIBSTZ5HCKV9H,13.0,166265.4679824525,1.246676224121803,0.42968577256505047,Rejected,2374913
106,30,Female,Urban,Student,0,4,School,0,0,0,817,774,education,993890,24,,,,,,,,1384408.0,ABC University,25.0,35772.0,,,,,10.0,45862.98083759443,1.2820916034215148,0.4994710789599395,Rejected,387605
107,44,Female,Rural,Self-employed,15,3,Graduate,1713864,142822,3,625,662,home,4141838,180,5799942.643636397,Suburban,1254754.422323815,Independent House,,,,,,,,,,,,8.5,40786.31721119423,0.28557447179842205,0.31662679200034016,Approved,0
108,37,Female,Urban,Student,0,1,School,0,0,0,773,774,education,869757,180,,,,,,,,1185504.0,National Institute,37.0,83732.0,,,,,10.0,9346.453233624594,0.11162343230335588,0.12287291852339664,Approved,0
109,27,Female,Rural,Self-employed,6,1,School,1660248,138354,0,581,554,gold,358984,12,,,,,79.0,24.0,474000.0,,,,,,,,,11.0,31727.601302719166,0.22932189385720084,0.7806389063908086,Rejected,221830
110,40,Male,Semi-Urban,Student,0,13,Graduate,0,0,2,704,661,education,801902,36,,,,,,,,926295.0,National Institute,47.0,76010.0,,,,,10.0,25875.12194511274,0.34041733910160166,0.16186040126962567,Approved,0
111,49,Male,Rural,Self-employed,15,13,Postgraduate,0,0,2,801,791,business,8129536,120,,,,,,,,,,,,3613127.0,6.0,Manufacturing,U4SNGLLAOFAGHHH,13.0,121382.70358314931,0.40313901033586463,0.22015859583795855,Approved,0
112,28,Male,Rural,Self-employed,5,11,School,1040772,86731,1,582,628,home,3382509,24,4517333.738972408,City Center,464769.29312553356,Independent House,,,,,,,,,,,,8.5,153754.22938736223,1.7727713203740556,1.0,Rejected,1144821
113,21,Male,Urban,Student,0,1,Postgraduate,0,0,1,571,610,education,1275324,240,,,,,,,,1334326.0,XYZ College,42.0,92606.0,,,,,10.0,12307.152644823655,0.13289800493298118,0.4305758535293337,Approved,0
114,24,Male,Semi-Urban,Self-employed,5,3,Postgraduate,1249308,104109,0,601,565,gold,425403,36,,,,,117.0,22.0,702000.0,,,,,,,,,11.0,13927.14847772389,0.1337746830506862,0.2004346102272386,Rejected,334479
115,52,Female,Semi-Urban,Self-employed,13,9,School,0,0,0,721,711,business,9432779,120,,,,,,,,,,,,4527734.0,9.0,Manufacturing,76I2PYR2B1BKDRO,13.0,140841.52125316323,0.3732768433476787,0.3888583968238487,Rejected,7360322
116,55,Female,Urban,Self-employed,7,10,Postgraduate,0,0,4,674,677,business,11114944,12,,,,,,,,,,,,4168104.0,4.0,Retail,PPH5M4YW67E9IO2,13.0,992756.5177686567,2.8581528227759865,0.729994231783309,Rejected,2333313
117,34,Male,Semi-Urban,Self-employed,7,10,Postgraduate,0,0,3,696,656,business,1792775,12,,,,,,,,,,,,935361.0,10.0,Manufacturing,LM56IVLCINCSSFJ,13.0,160125.77896413184,2.0542970549013506,0.7139630504364443,Rejected,436348
